cayley,cayley,cayley
-858.2662353515625,-859.2899169921875,-529.8432006835938
-858.0629272460938,-859.3087768554688,-529.9458618164062
-857.8405151367188,-859.3419799804688,-530.007080078125
-857.6592407226562,-859.3588256835938,-530.0384521484375
-857.6069946289062,-859.3876953125,-530.0582275390625
-857.7101440429688,-859.4000854492188,-530.0692138671875
-857.9115600585938,-859.4232788085938,-530.0819091796875
-858.15087890625,-859.4296875,-530.0912475585938
-858.3593139648438,-859.4465942382812,-530.1043090820312
-858.52490234375,-859.4452514648438,-530.1148071289062
-858.6448364257812,-859.4539184570312,-530.1288452148438
-858.7236938476562,-859.4401245117188,-530.1403198242188
-858.7820434570312,-859.4335327148438,-530.1544799804688
-858.8114624023438,-859.3930053710938,-530.1658935546875
-858.8345947265625,-859.3492431640625,-530.178955078125
-858.8328247070312,-859.240966796875,-530.1889038085938
-858.829345703125,-859.107666015625,-530.1994018554688
-858.7996215820312,-858.84326171875,-530.2060546875
-858.7666625976562,-858.5675659179688,-530.2117919921875
-858.703369140625,-858.1101684570312,-530.2120971679688
-858.634765625,-857.9163818359375,-530.2085571289062
-858.5410766601562,-857.6912231445312,-530.1954956054688
-858.4578247070312,-858.0886840820312,-530.1728515625
-858.3843383789062,-858.4485473632812,-530.1317138671875
-858.3584594726562,-858.9899291992188,-530.0722045898438
-858.375732421875,-859.3109130859375,-529.9796142578125
-858.4429931640625,-859.53857421875,-529.8700561523438
-858.5336303710938,-859.6441650390625,-529.7213745117188
-858.6380615234375,-859.7172241210938,-529.60595703125
-858.7321166992188,-859.75,-529.4788208007812
-858.818359375,-859.7854614257812,-529.4800415039062
-858.8799438476562,-859.800048828125,-529.5166625976562
-858.9330444335938,-859.8238525390625,-529.7141723632812
-858.96044921875,-859.8301391601562,-529.8966674804688
-858.9847412109375,-859.8475341796875,-530.0938110351562
-858.9845581054688,-859.8477783203125,-530.2035522460938
-858.985595703125,-859.8616943359375,-530.2725830078125
-858.963623046875,-859.857666015625,-530.3035888671875
-858.9465942382812,-859.8703002929688,-530.328857421875
-858.9102172851562,-859.8636474609375,-530.3429565429688
-858.8851928710938,-859.875732421875,-530.3621215820312
-858.8499145507812,-859.8653564453125,-530.3746337890625
-858.8358764648438,-859.8718872070312,-530.3930053710938
-858.82275390625,-859.8480834960938,-530.4055786132812
-858.8372192382812,-859.8316650390625,-530.4229736328125
-858.85546875,-859.7640991210938,-530.4349975585938
-858.8970336914062,-859.6830444335938,-530.4506225585938
-858.934814453125,-859.50146484375,-530.4613647460938
-858.9860229492188,-859.2913818359375,-530.4749145507812
-859.0240478515625,-858.908935546875,-530.484130859375
-859.0690307617188,-858.6314697265625,-530.49560546875
-859.0950927734375,-858.2349243164062,-530.5030517578125
-859.1266479492188,-858.3629760742188,-530.5125122070312
-859.1375122070312,-858.5001831054688,-530.5177001953125
-859.1554565429688,-859.0552368164062,-530.5242919921875
-859.1531372070312,-859.43359375,-530.525634765625
-859.1607055664062,-859.77490234375,-530.5263671875
-859.1499633789062,-859.9436645507812,-530.5177612304688
